# T  docc_ss  docc_bpk  docc_1  docc_2  hop
1.00000000 0.18947499 0.19348921 0.17191184 0.17730618 0.11508258
0.98275862 0.18892925 0.19373973 0.17022016 0.17610005 0.11694021
0.96551724 0.18838082 0.19354764 0.16888895 0.17505362 0.11871218
0.94827586 0.18783015 0.19337248 0.16752250 0.17398500 0.12053205
0.93103448 0.18727771 0.19322898 0.16611147 0.17289085 0.12240408
0.91379310 0.18672403 0.19311946 0.16465353 0.17177001 0.12433045
0.89655172 0.18616971 0.19304784 0.16314645 0.17062180 0.12631339
0.87931034 0.18561540 0.19301854 0.16158784 0.16944551 0.12835523
0.86206897 0.18506179 0.19303642 0.15997517 0.16824049 0.13045845
0.84482759 0.18450967 0.19310687 0.15830578 0.16700605 0.13262566
0.82758621 0.18395987 0.19323582 0.15657682 0.16574157 0.13485960
0.81034483 0.18341331 0.19342985 0.15478529 0.16444643 0.13716320
0.79310345 0.18287099 0.19369621 0.15292798 0.16312004 0.13953954
0.77586207 0.18233398 0.19404293 0.15100151 0.16176186 0.14199190
0.75862069 0.18180345 0.19447885 0.14900227 0.16037142 0.14452376
0.74137931 0.18128065 0.19501378 0.14692646 0.15894829 0.14713885
0.72413793 0.18076693 0.19565852 0.14477001 0.15749214 0.14984113
0.70689655 0.18026374 0.19642501 0.14252865 0.15600274 0.15263487
0.68965517 0.17977261 0.19732640 0.14019782 0.15447996 0.15552463
0.67241379 0.17929519 0.19837722 0.13777270 0.15292383 0.15851537
0.65517241 0.17883322 0.19959346 0.13524822 0.15133453 0.16161243
0.63793103 0.17838854 0.20099272 0.13261902 0.14971244 0.16482165
0.62068966 0.17796307 0.20259433 0.12987943 0.14805816 0.16814941
0.60344828 0.17755883 0.20441952 0.12702354 0.14637254 0.17160273
0.58620690 0.17717790 0.20649150 0.12404514 0.14465673 0.17518938
0.56896552 0.17682242 0.20883564 0.12093777 0.14291224 0.17891804
0.55172414 0.17649457 0.21147954 0.11769475 0.14114095 0.18279841
0.53448276 0.17619655 0.21445313 0.11430919 0.13934518 0.18684151
0.51724138 0.17593050 0.21778870 0.11077412 0.13752777 0.19105983
0.50000000 0.17569850 0.22152091 0.10708251 0.13569211 0.19546775
