# T docc_ss docc_bpk docc1 docc2 hop
0.50000000 0.17569850 0.22157402 0.10708618 0.13570814 0.19545756
0.48344828 0.17550964 0.22551174 0.10338486 0.13391658 0.19989306
0.46689655 0.17535551 0.22993551 0.09953067 0.13213188 0.20452541
0.45034483 0.17523739 0.23482967 0.09551445 0.13034326 0.20938453
0.43379310 0.17515624 0.24023063 0.09133138 0.12855619 0.21449354
0.41724138 0.17511255 0.24617573 0.08697760 0.12677713 0.21987956
0.40068966 0.17510620 0.25270188 0.08245063 0.12501344 0.22557448
0.38413793 0.17513633 0.25984441 0.07774990 0.12327353 0.23161585
0.36758621 0.17520111 0.26763565 0.07287739 0.12156695 0.23804781
0.35103448 0.17529749 0.27610307 0.06783847 0.11990462 0.24492205
0.33448276 0.17542092 0.28526704 0.06264294 0.11829896 0.25229858
0.31793103 0.17556500 0.29513812 0.05730625 0.11676422 0.26024614
0.30137931 0.17572103 0.30571399 0.05185105 0.11531678 0.26884170
0.28482759 0.17587748 0.31697587 0.04630890 0.11397565 0.27816833
0.26827586 0.17601943 0.32888479 0.04072230 0.11276292 0.28831032
0.25172414 0.17612768 0.34137733 0.03514668 0.11170434 0.29934362
0.23517241 0.17617792 0.35436108 0.02965238 0.11082956 0.31131931
0.21862069 0.17613943 0.36770899 0.02432602 0.11017176 0.32423712
0.20206897 0.17597363 0.38125134 0.01927061 0.10976579 0.33800663
0.18551724 0.17563201 0.39476342 0.01460332 0.10964335 0.35239690
0.16896552 0.17505356 0.40794666 0.01044945 0.10982375 0.36698280
0.15241379 0.17416099 0.42040523 0.00693058 0.11029924 0.38111114
0.13586207 0.17285571 0.43163101 0.00414548 0.11101686 0.39392795
0.11931034 0.17101049 0.44103109 0.00214328 0.11186523 0.40451650
0.10275862 0.16845949 0.44804974 0.00089343 0.11268251 0.41216576
0.08620690 0.16498567 0.45241453 0.00026556 0.11330280 0.41669914
0.06965517 0.16031090 0.45441974 0.00004428 0.11363815 0.41867016
0.05310345 0.15410892 0.45495936 0.00000242 0.11374165 0.41917450
0.03655172 0.14607850 0.45501115 0.00000001 0.11375279 0.41922136
0.02000000 0.13594177 0.45501165 0.00000000 0.11375291 0.41922181
