T=0.5000  eta1=[-6.36644002]  W1=[2.44125341e-15]  eta2=[-1.18037052]  W2=[7.4842888e-05]  etab=[-5.9684338]  Bh=[-5.61960542e-11]  V1=[0.00719278]  V2=[0.02602084]  Bg=[1.34655389e-11]
T=0.4834  eta1=[-4.13789643]  W1=[9.78092712e-14]  eta2=[-0.68104874]  W2=[1.81800695e-12]  etab=[-3.17664619]  Bh=[-6.96832158e-14]  V1=[0.00022864]  V2=[0.00185751]  Bg=[1.46914066e-12]
T=0.4669  eta1=[-4.06270878]  W1=[1.64290921e-15]  eta2=[-0.39495267]  W2=[-4.34147297e-14]  etab=[0.94555164]  Bh=[-2.58884986e-17]  V1=[9.97564881e-06]  V2=[0.00018082]  Bg=[2.48360647e-14]
T=0.4503  eta1=[-4.06122011]  W1=[1.47446637e-15]  eta2=[-0.38893191]  W2=[-2.66268251e-16]  etab=[0.92266622]  Bh=[-2.4149438e-19]  V1=[4.77353369e-07]  V2=[1.95084899e-05]  Bg=[2.37863291e-16]
T=0.4338  eta1=[-4.05869341]  W1=[-1.4056663e-15]  eta2=[-0.38784827]  W2=[1.32934801e-16]  etab=[0.93366374]  Bh=[-1.63292089e-21]  V1=[3.35198119e-08]  V2=[2.78701565e-06]  Bg=[1.77433574e-17]
T=0.4172  eta1=[-4.05740707]  W1=[8.60783523e-16]  eta2=[-0.38578552]  W2=[-1.76166434e-16]  etab=[0.91153228]  Bh=[-1.07345009e-21]  V1=[1.52252697e-08]  V2=[1.3125225e-06]  Bg=[1.65526948e-16]
T=0.4007  eta1=[-4.05728408]  W1=[-2.74322454e-15]  eta2=[-0.38589391]  W2=[2.37450187e-17]  etab=[0.91045064]  Bh=[-3.47271488e-22]  V1=[7.42780519e-09]  V2=[6.46513602e-07]  Bg=[-1.94478734e-18]
T=0.3841  eta1=[-4.05726577]  W1=[-6.84901011e-16]  eta2=[-0.3862863]  W2=[3.19537195e-17]  etab=[0.89772833]  Bh=[2.17692842e-22]  V1=[3.62122471e-09]  V2=[3.18439783e-07]  Bg=[-3.49343389e-18]
T=0.3676  eta1=[-4.05723276]  W1=[1.28023945e-15]  eta2=[-0.38616475]  W2=[9.87132085e-17]  etab=[0.89604758]  Bh=[-7.60488014e-23]  V1=[1.71873247e-09]  V2=[1.54488856e-07]  Bg=[6.02095701e-18]
T=0.3510  eta1=[-4.05719297]  W1=[3.23262649e-16]  eta2=[-0.38311043]  W2=[3.14853806e-16]  etab=[0.89623251]  Bh=[-6.02446886e-23]  V1=[8.59366238e-10]  V2=[7.72444282e-08]  Bg=[-2.92815681e-16]
T=0.3345  eta1=[-4.05723772]  W1=[5.15554342e-16]  eta2=[-0.38358971]  W2=[1.17907875e-16]  etab=[0.88332211]  Bh=[-6.54180271e-23]  V1=[4.29683455e-10]  V2=[3.86222141e-08]  Bg=[-1.46593545e-16]
T=0.3179  eta1=[-4.0572305]  W1=[2.97045766e-16]  eta2=[-0.38364266]  W2=[1.66128566e-16]  etab=[0.88346697]  Bh=[5.70372458e-22]  V1=[2.14842145e-10]  V2=[1.9311107e-08]  Bg=[-2.67597731e-16]
T=0.3014  eta1=[-4.0572319]  W1=[1.48511233e-16]  eta2=[-0.38362631]  W2=[8.2246244e-17]  etab=[0.88350145]  Bh=[-1.64567613e-22]  V1=[1.07421073e-10]  V2=[9.65555332e-09]  Bg=[-1.50502212e-16]
T=0.2848  eta1=[-4.0572319]  W1=[5.61480474e-17]  eta2=[-0.38362631]  W2=[9.62059836e-16]  etab=[0.88350145]  Bh=[-3.79165392e-17]  V1=[5.37104624e-11]  V2=[4.82778143e-09]  Bg=[-7.2064773e-15]
T=0.2683  eta1=[-4.05723194]  W1=[1.27798818e-17]  eta2=[-0.38355448]  W2=[2.82608694e-16]  etab=[0.88340396]  Bh=[-1.89712748e-17]  V1=[2.68552532e-11]  V2=[2.41389072e-09]  Bg=[-3.60367203e-15]
T=0.2517  eta1=[-4.05722837]  W1=[3.68966529e-15]  eta2=[-0.38355616]  W2=[4.91922696e-16]  etab=[0.88337219]  Bh=[-9.47478629e-18]  V1=[1.34276332e-11]  V2=[1.20694545e-09]  Bg=[-1.80627642e-15]
T=0.2352  eta1=[-4.05722838]  W1=[1.84485068e-15]  eta2=[-0.38355611]  W2=[2.36026995e-16]  etab=[0.88337223]  Bh=[-4.76594618e-18]  V1=[6.71381661e-12]  V2=[6.0347286e-10]  Bg=[-9.02540545e-16]
T=0.2186  eta1=[-4.05722875]  W1=[9.33998455e-16]  eta2=[-0.38355615]  W2=[8.92149606e-17]  etab=[0.88337228]  Bh=[-2.38196613e-18]  V1=[3.35690987e-12]  V2=[3.0173643e-10]  Bg=[-4.51270274e-16]
T=0.2021  eta1=[-4.05723108]  W1=[5.45371232e-16]  eta2=[-0.38355616]  W2=[-2.84453324e-16]  etab=[0.88337233]  Bh=[-1.19098441e-18]  V1=[1.67845494e-12]  V2=[1.50868212e-10]  Bg=[-2.32644602e-16]
T=0.1855  eta1=[-4.05723108]  W1=[2.55772387e-16]  eta2=[-0.38355616]  W2=[8.13273916e-17]  etab=[0.88337233]  Bh=[2.88038047e-16]  V1=[6.20746717e-13]  V2=[7.54379683e-11]  Bg=[1.3731556e-15]
T=0.1690  eta1=[-4.05723108]  W1=[4.97833002e-15]  eta2=[-0.38355616]  W2=[4.06804804e-17]  etab=[0.88337231]  Bh=[1.44012797e-16]  V1=[3.1037376e-13]  V2=[3.77189842e-11]  Bg=[6.86574033e-16]
T=0.1524  eta1=[-4.05723108]  W1=[4.74214915e-15]  eta2=[-0.38355616]  W2=[-2.63653059e-16]  etab=[0.88337231]  Bh=[-3.94080286e-14]  V1=[1.20548229e-13]  V2=[1.89048236e-11]  Bg=[-4.353604e-15]
T=0.1359  eta1=[-4.05723108]  W1=[4.74143343e-15]  eta2=[-0.38355616]  W2=[-2.62386336e-16]  etab=[0.88337231]  Bh=[-5.17009806e-15]  V1=[1.20317257e-13]  V2=[1.88753737e-11]  Bg=[-4.25104448e-15]
T=0.1193  eta1=[-4.05723108]  W1=[4.72547459e-15]  eta2=[-0.38355616]  W2=[-2.47320387e-16]  etab=[0.88337231]  Bh=[9.57023574e-14]  V1=[1.15252155e-13]  V2=[1.8230984e-11]  Bg=[-2.00682404e-15]
T=0.1028  eta1=[-4.05717389]  W1=[2.36992023e-15]  eta2=[-0.38355617]  W2=[9.91423046e-16]  etab=[0.88337103]  Bh=[4.7851694e-14]  V1=[5.7626075e-14]  V2=[9.11549196e-12]  Bg=[-1.00341222e-15]
T=0.0862  eta1=[-4.05717515]  W1=[1.18496157e-15]  eta2=[-0.38355618]  W2=[4.9570896e-16]  etab=[0.88337107]  Bh=[2.39258485e-14]  V1=[2.88130384e-14]  V2=[4.55774604e-12]  Bg=[-5.01706073e-16]
