# T  ToverD  beta  docc_ss  docc_bpk  docc_2  docc_1  hop  dmu  res
1.00000000 0.50000000 1.00000000 0.18947499 0.10024612 0.15368261 0.17149477 0.12014951 0.00111622 0.00000000
0.80000000 0.40000000 1.25000000 0.18308734 0.10822911 0.14231653 0.15367901 0.14302124 0.00101067 0.00000000
0.66700000 0.33350000 1.49925037 0.17914839 0.12121993 0.13304821 0.13699097 0.16331244 0.00019199 0.00000000
0.50000000 0.25000000 2.00000000 0.17569850 0.15984182 0.12027234 0.10708251 0.19831774 0.00057760 0.00000000
0.40000000 0.20000000 2.50000000 0.17510674 0.20718321 0.11348948 0.08225823 0.22826576 0.00465789 0.00000142
0.33300000 0.16650000 3.00300300 0.17543310 0.23553465 0.23502586 0.23485626 0.04632224 0.00000000 0.00000000
0.25000000 0.12500000 4.00000000 0.17613609 0.23062948 0.22928688 0.22883935 0.06433930 0.00000000 0.00000000
0.20000000 0.10000000 5.00000000 0.17594166 0.22669997 0.22405954 0.22317939 0.08094389 0.00000000 0.00000000
0.16700000 0.08350000 5.98802395 0.17496570 0.22390802 0.21966596 0.21825193 0.09507238 0.00000000 0.00000000
0.14300000 0.07150000 6.99300699 0.17347662 0.22203481 0.21604174 0.21404404 0.10686478 0.00000000 0.00000000
0.12500000 0.06250000 8.00000000 0.17171507 0.22089018 0.21320896 0.21064855 0.11617992 -0.00000000 0.00000000
0.11100000 0.05550000 9.00900901 0.16983013 0.22023999 0.21107217 0.20801623 0.12326860 0.00000000 0.00000000
0.10000000 0.05000000 10.00000000 0.16795133 0.21990266 0.20955067 0.20610000 0.12835057 -0.00000000 0.00000000
0.09100000 0.04550000 10.98901099 0.16610168 0.21973685 0.20849724 0.20475070 0.13188623 -0.00000000 0.00000000
0.08300000 0.04150000 12.04819277 0.16418343 0.21965763 0.20776666 0.20380300 0.13434627 -0.00000000 0.00000000
0.07100000 0.03550000 14.08450704 0.16074321 0.21961411 0.20709677 0.20292432 0.13660681 0.00000000 0.00000000
0.06300000 0.03150000 15.87301587 0.15801947 0.21960784 0.20690158 0.20266616 0.13726579 -0.00000000 0.00000000
0.05600000 0.02800000 17.85714286 0.15531889 0.21960673 0.20683401 0.20257644 0.13749372 -0.00000000 0.00000000
0.05000000 0.02500000 20.00000000 0.15275002 0.21960663 0.20681457 0.20255055 0.13755921 0.00000000 0.00000000
