# Ghost Nested Cluster M=1 Results (Internal Code)
# T        docc      docc1     docc2
  2.0000  0.21439559  0.21415800  0.21439600
  1.9268  0.21337938  0.21324800  0.21337900
  1.8564  0.21236956  0.21245500  0.21237000
  1.7885  0.21134487  0.21148700  0.21134500
  1.7231  0.21030732  0.21039200  0.21030700
  1.6600  0.20926962  0.20932200  0.20927000
  1.5993  0.20823585  0.20829800  0.20823600
  1.5408  0.20720598  0.20728900  0.20720600
  1.4845  0.20618130  0.20628100  0.20618100
  1.4302  0.20516471  0.20528200  0.20516500
  1.3779  0.20415916  0.20429700  0.20415900
  1.3275  0.20316743  0.20332900  0.20316700
  1.2789  0.20219230  0.20238100  0.20219200
  1.2321  0.20123656  0.20145700  0.20123700
  1.1871  0.20030300  0.20056000  0.20030300
  1.1437  0.19939437  0.19969300  0.19939400
  1.1018  0.19851332  0.19885900  0.19851300
  1.0615  0.19766241  0.19806200  0.19766200
  1.0227  0.19684406  0.19730500  0.19684400
  0.9853  0.19606053  0.19659100  0.19606100
  0.9493  0.19531389  0.19592300  0.19531400
  0.9145  0.19460597  0.19530300  0.19460600
  0.8811  0.19393837  0.19473400  0.19393800
  0.8489  0.19331241  0.19421800  0.19331200
  0.8178  0.19272912  0.19375700  0.19272900
  0.7879  0.19218919  0.19335200  0.19218900
  0.7591  0.19169299  0.19300500  0.19169300
  0.7313  0.19124053  0.19271600  0.19124100
  0.7046  0.19083144  0.19248500  0.19083100
  0.6788  0.19046499  0.19231300  0.19046500
  0.6540  0.19014004  0.19219700  0.19014000
  0.6300  0.18985508  0.19213800  0.18985500
  0.6070  0.18960822  0.19213200  0.18960800
  0.5848  0.18939721  0.19217800  0.18939700
  0.5634  0.18921942  0.19227200  0.18921900
  0.5428  0.18907194  0.19241200  0.18907200
  0.5230  0.18895154  0.19259100  0.18895200
  0.5038  0.18885476  0.19280800  0.18885500
  0.4854  0.18877794  0.19305600  0.18877800
  0.4676  0.18871728  0.19333100  0.18871700
  0.4505  0.18866888  0.19362800  0.18866900
  0.4341  0.18862880  0.19394100  0.18862900
  0.4182  0.18859316  0.19426700  0.18859300
  0.4029  0.18855811  0.19459900  0.18855800
  0.3882  0.18851998  0.19493500  0.18852000
  0.3740  0.18847524  0.19526900  0.18847500
  0.3603  0.18842061  0.19559800  0.18842100
  0.3471  0.18835305  0.19591900  0.18835300
  0.3344  0.18826980  0.19622900  0.18827000
  0.3222  0.18816840  0.19652700  0.18816800
  0.3104  0.18804673  0.19681000  0.18804700
  0.2990  0.18790299  0.19707800  0.18790300
  0.2881  0.18773570  0.19733000  0.18773600
  0.2776  0.18754372  0.19756900  0.18754400
  0.2674  0.18732624  0.19779300  0.18732600
  0.2576  0.18708276  0.19800600  0.18708300
  0.2482  0.18681308  0.19821000  0.18681300
  0.2391  0.18651732  0.19840900  0.18651700
  0.2304  0.18619582  0.19860700  0.18619600
  0.2220  0.18584925  0.19880800  0.18584900
  0.2138  0.18547847  0.19902000  0.18547800
  0.2060  0.18508460  0.19925000  0.18508500
  0.1985  0.18466899  0.19950400  0.18466900
  0.1912  0.18423318  0.19979500  0.18423300
  0.1842  0.18377896  0.20013100  0.18377900
  0.1775  0.18330833  0.20052600  0.18330800
  0.1710  0.18282357  0.20099500  0.18282400
  0.1647  0.18232729  0.20155400  0.18232700
  0.1587  0.18182258  0.20222100  0.18182300
  0.1529  0.18131322  0.20301900  0.18131300
  0.1473  0.18080412  0.20397600  0.18080400
  0.1419  0.18030215  0.20512600  0.18030200
  0.1367  0.17981775  0.20652700  0.17981800
  0.1317  0.17936893  0.20827900  0.17936900
  0.1269  0.17899392  0.21061700  0.17899400
  0.1223  0.17882646  0.21441600  0.17882600
  0.1178  0.11194349  0.24956900  0.11194300
  0.1135  0.11216497  0.24956900  0.11216500
  0.1093  0.11237236  0.24956900  0.11237200
  0.1053  0.22756393  0.24956900  0.22756400
  0.1015  0.22725867  0.24956900  0.22725900
  0.0978  0.22695855  0.24956900  0.22695900
  0.0942  0.22666038  0.24956900  0.22666000
  0.0908  0.22636366  0.24956900  0.22636400
  0.0874  0.22606981  0.24956900  0.22607000
  0.0842  0.22577924  0.24956900  0.22577900
  0.0812  0.22549163  0.24956900  0.22549200
  0.0782  0.22520567  0.24956900  0.22520600
  0.0753  0.22492417  0.24956900  0.22492400
  0.0726  0.22464754  0.24956900  0.22464800
  0.0699  0.22437305  0.24956900  0.22437300
  0.0674  0.22410332  0.24956900  0.22410300
  0.0649  0.22383775  0.24956900  0.22383800
  0.0625  0.22357639  0.24956900  0.22357600
  0.0602  0.22332217  0.24956900  0.22332200
  0.0580  0.22306753  0.24956900  0.22306800
  0.0559  0.22282248  0.24956900  0.22282200
  0.0539  0.22257955  0.24956900  0.22258000
  0.0519  0.22234144  0.24956900  0.22234100
  0.0500  0.22211153  0.24956900  0.22211200
